# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123100
# River:                 LOIRE
# Station:               MONTJEAN
# Country:               FR
# Latitude (DD):       47.38
# Longitude (DD):      -0.83
# Catchment area (km²):      110000.0
# Altitude (m ASL):        9.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1963-01 - 1979-12
# No. of years:          17
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6209
# DATA
YYYY-MM-DD;hh:mm; Value
1967-02-10;--:--;   1000.000
1967-02-11;--:--;    960.000
1967-02-12;--:--;    910.000
1967-02-13;--:--;    890.000
1967-02-14;--:--;    850.000
1967-02-15;--:--;    815.000
1967-02-16;--:--;    815.000
1967-02-17;--:--;    860.000
1967-02-18;--:--;    935.000
1967-02-19;--:--;   1030.000
1967-02-20;--:--;   1350.000
1967-02-21;--:--;   1860.000
1967-02-22;--:--;   2220.000
1967-02-23;--:--;   2220.000
1967-02-24;--:--;   2540.000
1967-02-25;--:--;   2390.000
1967-02-26;--:--;   2270.000
1967-02-27;--:--;   2190.000
1967-02-28;--:--;   2050.000
1967-03-01;--:--;   1920.000
1967-03-02;--:--;   1870.000
1967-03-03;--:--;   1930.000
1967-03-04;--:--;   2030.000
1967-03-05;--:--;   2040.000
1967-03-06;--:--;   2070.000
1967-03-07;--:--;   2090.000
1967-03-08;--:--;   2010.000
1967-03-09;--:--;   1860.000
1967-03-10;--:--;   1770.000
1967-03-11;--:--;   1860.000
1967-03-12;--:--;   1820.000
1967-03-13;--:--;   1880.000
1967-03-14;--:--;   1880.000
1967-03-15;--:--;   1820.000
1967-03-16;--:--;   1760.000
1967-03-17;--:--;   1650.000
1967-03-18;--:--;   1520.000
1967-03-19;--:--;   1430.000
1967-03-20;--:--;   1340.000
1967-03-21;--:--;   1270.000
1967-03-22;--:--;   1200.000
1967-03-23;--:--;   1200.000
1967-03-24;--:--;   1090.000
1967-03-25;--:--;   1050.000
1967-03-26;--:--;   1010.000
1967-03-27;--:--;    975.000
1967-03-28;--:--;    965.000
1967-03-29;--:--;   1010.000
1967-03-30;--:--;   1050.000
1967-03-31;--:--;   1050.000
1967-04-01;--:--;   1030.000
1967-04-02;--:--;   1000.000
1967-04-03;--:--;    985.000
1967-04-04;--:--;    955.000
1967-04-05;--:--;    920.000
1967-04-06;--:--;    895.000
1967-04-07;--:--;    855.000
1967-04-08;--:--;    830.000
1967-04-09;--:--;    795.000
1967-04-10;--:--;    770.000
1967-04-11;--:--;    800.000
1967-04-12;--:--;    870.000
1967-04-13;--:--;    970.000
1967-04-14;--:--;    990.000
1967-04-15;--:--;    945.000
1967-04-16;--:--;    885.000
1967-04-17;--:--;    825.000
1967-04-18;--:--;    765.000
1967-04-19;--:--;    700.000
1967-04-20;--:--;    670.000
1967-04-21;--:--;    655.000
1967-04-22;--:--;    630.000
1967-04-23;--:--;    630.000
1967-04-24;--:--;    610.000
1967-04-25;--:--;    600.000
1967-04-26;--:--;    585.000
1967-04-27;--:--;    580.000
1967-04-28;--:--;    580.000
1967-04-29;--:--;    570.000
1967-04-30;--:--;    560.000
1967-05-01;--:--;    540.000
1967-05-02;--:--;    530.000
1967-05-03;--:--;    510.000
1967-05-04;--:--;    492.000
1967-05-05;--:--;    505.000
1967-05-06;--:--;    510.000
1967-05-07;--:--;    505.000
1967-05-08;--:--;    560.000
1967-05-09;--:--;    615.000
1967-05-10;--:--;    605.000
1967-05-11;--:--;    590.000
1967-05-12;--:--;    570.000
1967-05-13;--:--;    560.000
1967-05-14;--:--;    550.000
1967-05-15;--:--;    545.000
1967-05-16;--:--;    555.000
1967-05-17;--:--;    530.000
1967-05-18;--:--;    520.000
1967-05-19;--:--;    530.000
1967-05-20;--:--;    545.000
1967-05-21;--:--;    525.000
1967-05-22;--:--;    525.000
1967-05-23;--:--;    525.000
1967-05-24;--:--;    510.000
1967-05-25;--:--;    560.000
1967-05-26;--:--;    675.000
1967-05-27;--:--;    810.000
1967-05-28;--:--;   1030.000
1967-05-29;--:--;    985.000
1967-05-30;--:--;    920.000
1967-05-31;--:--;    875.000
1967-06-01;--:--;    855.000
1967-06-02;--:--;    800.000
1967-06-03;--:--;    720.000
1967-06-04;--:--;    650.000
1967-06-05;--:--;    600.000
1967-06-06;--:--;    550.000
1967-06-07;--:--;    520.000
1967-06-08;--:--;    505.000
1967-06-09;--:--;    510.000
1967-06-10;--:--;    510.000
1967-06-11;--:--;    500.000
1967-06-12;--:--;    454.000
1967-06-13;--:--;    431.000
1967-06-14;--:--;    414.000
1967-06-15;--:--;    404.000
1967-06-16;--:--;    397.000
1967-06-17;--:--;    386.000
1967-06-18;--:--;    369.000
1967-06-19;--:--;    365.000
1967-06-20;--:--;    362.000
1967-06-21;--:--;    369.000
1967-06-22;--:--;    355.000
1967-06-23;--:--;    355.000
1967-06-24;--:--;    340.000
1967-06-25;--:--;    343.000
1967-06-26;--:--;    390.000
1967-06-27;--:--;    407.000
1967-06-28;--:--;    383.000
1967-06-29;--:--;    358.000
1967-06-30;--:--;    355.000
1967-07-01;--:--;    343.000
1967-07-02;--:--;    330.000
1967-07-03;--:--;    315.000
1967-07-04;--:--;    335.000
1967-07-05;--:--;    340.000
1967-07-06;--:--;    330.000
1967-07-07;--:--;    315.000
1967-07-08;--:--;    308.000
1967-07-09;--:--;    292.000
1967-07-10;--:--;    282.000
1967-07-11;--:--;    280.000
1967-07-12;--:--;    277.000
1967-07-13;--:--;    265.000
1967-07-14;--:--;    262.000
1967-07-15;--:--;    262.000
1967-07-16;--:--;    267.000
1967-07-17;--:--;    260.000
1967-07-18;--:--;    245.000
1967-07-19;--:--;    242.000
1967-07-20;--:--;    232.000
1967-07-21;--:--;    221.000
1967-07-22;--:--;    221.000
1967-07-23;--:--;    221.000
1967-07-24;--:--;    205.000
1967-07-25;--:--;    200.000
1967-07-26;--:--;    202.000
1967-07-27;--:--;    200.000
1967-07-28;--:--;    191.000
1967-07-29;--:--;    186.000
1967-07-30;--:--;    190.000
1967-07-31;--:--;    185.000
1967-08-01;--:--;    186.000
1967-08-02;--:--;    190.000
1967-08-03;--:--;    197.000
1967-08-04;--:--;    202.000
1967-08-05;--:--;    212.000
1967-08-06;--:--;    217.000
1967-08-07;--:--;    221.000
1967-08-08;--:--;    214.000
1967-08-09;--:--;    212.000
1967-08-10;--:--;    214.000
1967-08-11;--:--;    215.000
1967-08-12;--:--;    217.000
1967-08-13;--:--;    217.000
1967-08-14;--:--;    214.000
1967-08-15;--:--;    223.000
1967-08-16;--:--;    238.000
1967-08-17;--:--;    285.000
1967-08-18;--:--;    318.000
1967-08-19;--:--;    325.000
1967-08-20;--:--;    300.000
1967-08-21;--:--;    287.000
1967-08-22;--:--;    267.000
1967-08-23;--:--;    267.000
1967-08-24;--:--;    244.000
1967-08-25;--:--;    240.000
1967-08-26;--:--;    230.000
1967-08-27;--:--;    228.000
1967-08-28;--:--;    226.000
1967-08-29;--:--;    236.000
1967-08-30;--:--;    214.000
1967-08-31;--:--;    198.000
1967-09-01;--:--;    200.000
1967-09-02;--:--;    200.000
1967-09-03;--:--;    198.000
1967-09-04;--:--;    190.000
1967-09-05;--:--;    198.000
1967-09-06;--:--;    221.000
1967-09-07;--:--;    230.000
1967-09-08;--:--;    217.000
1967-09-09;--:--;    200.000
1967-09-10;--:--;    186.000
1967-09-11;--:--;    182.000
1967-09-12;--:--;    180.000
1967-09-13;--:--;    186.000
1967-09-14;--:--;    208.000
1967-09-15;--:--;    238.000
1967-09-16;--:--;    247.000
1967-09-17;--:--;    232.000
1967-09-18;--:--;    228.000
1967-09-19;--:--;    228.000
1967-09-20;--:--;    223.000
1967-09-21;--:--;    238.000
1967-09-22;--:--;    253.000
1967-09-23;--:--;    253.000
1967-09-24;--:--;    393.000
1967-09-25;--:--;    353.000
1967-09-26;--:--;    328.000
1967-09-27;--:--;    300.000
1967-09-28;--:--;    287.000
1967-09-29;--:--;    295.000
1967-09-30;--:--;    305.000
1967-10-01;--:--;    290.000
1967-10-02;--:--;    272.000
1967-10-03;--:--;    275.000
1967-10-04;--:--;    270.000
1967-10-05;--:--;    265.000
1967-10-06;--:--;    265.000
1967-10-07;--:--;    275.000
1967-10-08;--:--;    280.000
1967-10-09;--:--;    280.000
1967-10-10;--:--;    270.000
1967-10-11;--:--;    257.000
1967-10-12;--:--;    251.000
1967-10-13;--:--;    247.000
1967-10-14;--:--;    262.000
1967-10-15;--:--;    292.000
1967-10-16;--:--;    297.000
1967-10-17;--:--;    305.000
1967-10-18;--:--;    340.000
1967-10-19;--:--;    325.000
1967-10-20;--:--;    297.000
1967-10-21;--:--;    272.000
1967-10-22;--:--;    260.000
1967-10-23;--:--;    260.000
1967-10-24;--:--;    275.000
1967-10-25;--:--;    275.000
1967-10-26;--:--;    290.000
1967-10-27;--:--;    290.000
1967-10-28;--:--;    280.000
1967-10-29;--:--;    275.000
1967-10-30;--:--;    310.000
1967-10-31;--:--;    343.000
1967-11-01;--:--;    353.000
1967-11-02;--:--;    491.000
1967-11-03;--:--;    610.000
1967-11-04;--:--;    705.000
1967-11-05;--:--;    770.000
1967-11-06;--:--;    835.000
1967-11-07;--:--;    870.000
1967-11-08;--:--;    860.000
1967-11-09;--:--;    820.000
1967-11-10;--:--;    765.000
1967-11-11;--:--;    710.000
1967-11-12;--:--;    670.000
1967-11-13;--:--;    630.000
1967-11-14;--:--;    580.000
1967-11-15;--:--;    565.000
1967-11-16;--:--;    590.000
1967-11-17;--:--;    700.000
1967-11-18;--:--;    740.000
1967-11-19;--:--;    725.000
1967-11-20;--:--;    700.000
1967-11-21;--:--;    695.000
1967-11-22;--:--;    705.000
1967-11-23;--:--;    705.000
1967-11-24;--:--;    750.000
1967-11-25;--:--;    715.000
1967-11-26;--:--;    675.000
1967-11-27;--:--;    630.000
1967-11-28;--:--;    605.000
1967-11-29;--:--;    590.000
1967-11-30;--:--;    610.000
1967-12-01;--:--;    640.000
1967-12-02;--:--;    660.000
1967-12-03;--:--;    710.000
1967-12-04;--:--;    730.000
1967-12-05;--:--;    705.000
1967-12-06;--:--;    695.000
1967-12-07;--:--;    675.000
1967-12-08;--:--;    660.000
1967-12-09;--:--;    650.000
1967-12-10;--:--;    630.000
1967-12-11;--:--;    615.000
1967-12-12;--:--;    620.000
1967-12-13;--:--;    610.000
1967-12-14;--:--;    605.000
1967-12-15;--:--;    640.000
1967-12-16;--:--;    625.000
1967-12-17;--:--;    610.000
1967-12-18;--:--;    595.000
1967-12-19;--:--;    580.000
1967-12-20;--:--;    570.000
1967-12-21;--:--;    645.000
1967-12-22;--:--;    685.000
1967-12-23;--:--;    685.000
1967-12-24;--:--;    820.000
1967-12-25;--:--;    985.000
1967-12-26;--:--;   1210.000
1967-12-27;--:--;   1380.000
1967-12-28;--:--;   1640.000
1967-12-29;--:--;   1800.000
1967-12-30;--:--;   1910.000
1967-12-31;--:--;   2070.000
1968-01-01;--:--;   2180.000
1968-01-02;--:--;   2160.000
1968-01-03;--:--;   2120.000
1968-01-04;--:--;   2190.000
1968-01-05;--:--;   2280.000
1968-01-06;--:--;   2440.000
1968-01-07;--:--;   2700.000
1968-01-08;--:--;   3090.000
1968-01-09;--:--;   3650.000
1968-01-10;--:--;   4380.000
1968-01-11;--:--;   4610.000
1968-01-12;--:--;   4910.000
1968-01-13;--:--;   5010.000
1968-01-14;--:--;   4930.000
1968-01-15;--:--;   4650.000
1968-01-16;--:--;   4230.000
1968-01-17;--:--;   3680.000
1968-01-18;--:--;   3270.000
1968-01-19;--:--;   3020.000
1968-01-20;--:--;   2930.000
1968-01-21;--:--;   2830.000
1968-01-22;--:--;   2690.000
1968-01-23;--:--;   2690.000
1968-01-24;--:--;   2360.000
1968-01-25;--:--;   2270.000
1968-01-26;--:--;   2170.000
1968-01-27;--:--;   2040.000
1968-01-28;--:--;   1910.000
1968-01-29;--:--;   1820.000
1968-01-30;--:--;   1740.000
1968-01-31;--:--;   1660.000
1968-02-01;--:--;   1600.000
1968-02-02;--:--;   1560.000
1968-02-03;--:--;   1470.000
1968-02-04;--:--;   1400.000
1968-02-05;--:--;   1380.000
1968-02-06;--:--;   1400.000
1968-02-07;--:--;   1510.000
1968-02-08;--:--;   1710.000
1968-02-09;--:--;   2020.000
1968-02-10;--:--;   2230.000
1968-02-11;--:--;   2300.000
1968-02-12;--:--;   2290.000
1968-02-13;--:--;   2120.000
1968-02-14;--:--;   1970.000
1968-02-15;--:--;   1860.000
1968-02-16;--:--;   1760.000
1968-02-17;--:--;   1660.000
1968-02-18;--:--;   1620.000
1968-02-19;--:--;   1570.000
1968-02-20;--:--;   1480.000
1968-02-21;--:--;   1440.000
1968-02-22;--:--;   1470.000
1968-02-23;--:--;   1470.000
1968-02-24;--:--;   1710.000
1968-02-25;--:--;   1820.000
1968-02-26;--:--;   1860.000
1968-02-27;--:--;   1860.000
1968-02-28;--:--;   1790.000
1968-02-29;--:--;   1740.000
1968-03-01;--:--;   1760.000
1968-03-02;--:--;   1750.000
1968-03-03;--:--;   1680.000
1968-03-04;--:--;   1540.000
1968-03-05;--:--;   1430.000
1968-03-06;--:--;   1330.000
1968-03-07;--:--;   1250.000
1968-03-08;--:--;   1190.000
1968-03-09;--:--;   1130.000
1968-03-10;--:--;   1100.000
1968-03-11;--:--;   1070.000
1968-03-12;--:--;   1010.000
1968-03-13;--:--;    990.000
1968-03-14;--:--;    965.000
1968-03-15;--:--;    930.000
1968-03-16;--:--;    905.000
1968-03-17;--:--;    905.000
1968-03-18;--:--;    935.000
1968-03-19;--:--;    960.000
1968-03-20;--:--;    970.000
1968-03-21;--:--;   1010.000
1968-03-22;--:--;   1060.000
1968-03-23;--:--;   1060.000
1968-03-24;--:--;   1300.000
1968-03-25;--:--;   1330.000
1968-03-26;--:--;   1280.000
1968-03-27;--:--;   1200.000
1968-03-28;--:--;   1130.000
1968-03-29;--:--;   1070.000
1968-03-30;--:--;    985.000
1968-03-31;--:--;    915.000
1968-04-01;--:--;    895.000
1968-04-02;--:--;    865.000
1968-04-03;--:--;    840.000
1968-04-04;--:--;    820.000
1968-04-05;--:--;    815.000
1968-04-06;--:--;    795.000
1968-04-07;--:--;    815.000
1968-04-08;--:--;   1140.000
1968-04-09;--:--;   1290.000
1968-04-10;--:--;   1360.000
1968-04-11;--:--;   1320.000
1968-04-12;--:--;   1250.000
1968-04-13;--:--;   1170.000
1968-04-14;--:--;   1020.000
1968-04-15;--:--;    935.000
1968-04-16;--:--;    860.000
1968-04-17;--:--;    800.000
1968-04-18;--:--;    770.000
1968-04-19;--:--;    760.000
1968-04-20;--:--;    745.000
1968-04-21;--:--;    725.000
1968-04-22;--:--;    710.000
1968-04-23;--:--;    710.000
1968-04-24;--:--;    680.000
1968-04-25;--:--;    680.000
1968-04-26;--:--;    670.000
1968-04-27;--:--;    655.000
1968-04-28;--:--;    640.000
1968-04-29;--:--;    645.000
1968-04-30;--:--;    675.000
1968-05-01;--:--;    730.000
1968-05-02;--:--;    810.000
1968-05-03;--:--;    840.000
1968-05-04;--:--;    925.000
1968-05-05;--:--;    985.000
1968-05-06;--:--;   1170.000
1968-05-07;--:--;   1270.000
1968-05-08;--:--;   1260.000
1968-05-09;--:--;   1230.000
1968-05-10;--:--;   1280.000
1968-05-11;--:--;   1440.000
1968-05-12;--:--;   1550.000
1968-05-13;--:--;   1550.000
1968-05-14;--:--;   1460.000
1968-05-15;--:--;   1320.000
1968-05-16;--:--;   1170.000
1968-05-17;--:--;   1060.000
1968-05-18;--:--;    970.000
1968-05-19;--:--;    895.000
1968-05-20;--:--;    830.000
1968-05-21;--:--;    765.000
1968-05-22;--:--;    715.000
1968-05-23;--:--;    715.000
1968-05-24;--:--;    630.000
1968-05-25;--:--;    600.000
1968-05-26;--:--;    605.000
1968-05-27;--:--;    630.000
1968-05-28;--:--;    705.000
1968-05-29;--:--;    745.000
1968-05-30;--:--;    810.000
1968-05-31;--:--;    900.000
1968-06-01;--:--;    930.000
1968-06-02;--:--;    960.000
1968-06-03;--:--;   1030.000
1968-06-04;--:--;   1080.000
1968-06-05;--:--;   1070.000
1968-06-06;--:--;   1040.000
1968-06-07;--:--;    980.000
1968-06-08;--:--;    910.000
1968-06-09;--:--;    875.000
1968-06-10;--:--;    835.000
1968-06-11;--:--;    770.000
1968-06-12;--:--;    675.000
1968-06-13;--:--;    620.000
1968-06-14;--:--;    575.000
1968-06-15;--:--;    545.000
1968-06-16;--:--;    545.000
1968-06-17;--:--;    530.000
1968-06-18;--:--;    515.000
1968-06-19;--:--;    494.000
1968-06-20;--:--;    484.000
1968-06-21;--:--;    487.000
1968-06-22;--:--;    484.000
1968-06-23;--:--;    484.000
1968-06-24;--:--;    498.000
1968-06-25;--:--;    484.000
1968-06-26;--:--;    477.000
1968-06-27;--:--;    473.000
1968-06-28;--:--;    470.000
1968-06-29;--:--;    477.000
1968-06-30;--:--;    484.000
1968-07-01;--:--;    477.000
1968-07-02;--:--;    453.000
1968-07-03;--:--;    418.000
1968-07-04;--:--;    400.000
1968-07-05;--:--;    379.000
1968-07-06;--:--;    365.000
1968-07-07;--:--;    356.000
1968-07-08;--:--;    359.000
1968-07-09;--:--;    379.000
1968-07-10;--:--;    379.000
1968-07-11;--:--;    391.000
1968-07-12;--:--;    379.000
1968-07-13;--:--;    382.000
1968-07-14;--:--;    376.000
1968-07-15;--:--;    370.000
1968-07-16;--:--;    368.000
1968-07-17;--:--;    365.000
1968-07-18;--:--;    359.000
1968-07-19;--:--;    356.000
1968-07-20;--:--;    354.000
1968-07-21;--:--;    370.000
1968-07-22;--:--;    368.000
1968-07-23;--:--;    368.000
1968-07-24;--:--;    332.000
1968-07-25;--:--;    335.000
1968-07-26;--:--;    332.000
1968-07-27;--:--;    322.000
1968-07-28;--:--;    308.000
1968-07-29;--:--;    300.000
1968-07-30;--:--;    282.000
1968-07-31;--:--;    280.000
1968-08-01;--:--;    263.000
1968-08-02;--:--;    265.000
1968-08-03;--:--;    263.000
1968-08-04;--:--;    271.000
1968-08-05;--:--;    280.000
1968-08-06;--:--;    291.000
1968-08-07;--:--;    291.000
1968-08-08;--:--;    308.000
1968-08-09;--:--;    320.000
1968-08-10;--:--;    376.000
1968-08-11;--:--;    403.000
1968-08-12;--:--;    406.000
1968-08-13;--:--;    400.000
1968-08-14;--:--;    382.000
1968-08-15;--:--;    388.000
1968-08-16;--:--;    397.000
1968-08-17;--:--;    428.000
1968-08-18;--:--;    444.000
1968-08-19;--:--;    447.000
1968-08-20;--:--;    450.000
1968-08-21;--:--;    444.000
1968-08-22;--:--;    431.000
1968-08-23;--:--;    431.000
1968-08-24;--:--;    388.000
1968-08-25;--:--;    356.000
1968-08-26;--:--;    330.000
1968-08-27;--:--;    332.000
1968-08-28;--:--;    310.000
1968-08-29;--:--;    293.000
1968-08-30;--:--;    293.000
1968-08-31;--:--;    280.000
1968-09-01;--:--;    434.000
1968-09-02;--:--;    520.000
1968-09-03;--:--;    605.000
1968-09-04;--:--;    645.000
1968-09-05;--:--;    670.000
1968-09-06;--:--;    685.000
1968-09-07;--:--;    670.000
1968-09-08;--:--;    645.000
1968-09-09;--:--;    645.000
1968-09-10;--:--;    630.000
1968-09-11;--:--;    595.000
1968-09-12;--:--;    550.000
1968-09-13;--:--;    505.000
1968-09-14;--:--;    463.000
1968-09-15;--:--;    457.000
1968-09-16;--:--;    470.000
1968-09-17;--:--;    470.000
1968-09-18;--:--;    540.000
1968-09-19;--:--;    595.000
1968-09-20;--:--;    645.000
1968-09-21;--:--;    685.000
1968-09-22;--:--;    695.000
1968-09-23;--:--;    695.000
1968-09-24;--:--;    860.000
1968-09-25;--:--;    935.000
1968-09-26;--:--;    985.000
1968-09-27;--:--;   1070.000
1968-09-28;--:--;   1090.000
1968-09-29;--:--;   1050.000
1968-09-30;--:--;    980.000
1968-10-01;--:--;    930.000
1968-10-02;--:--;    960.000
1968-10-03;--:--;   1110.000
1968-10-04;--:--;   1200.000
1968-10-05;--:--;   1190.000
1968-10-06;--:--;   1090.000
1968-10-07;--:--;    980.000
1968-10-08;--:--;    875.000
1968-10-09;--:--;    820.000
1968-10-10;--:--;    780.000
1968-10-11;--:--;    820.000
1968-10-12;--:--;    870.000
1968-10-13;--:--;    850.000
1968-10-14;--:--;    810.000
1968-10-15;--:--;    820.000
1968-10-16;--:--;    850.000
1968-10-17;--:--;    885.000
1968-10-18;--:--;    870.000
1968-10-19;--:--;    815.000
1968-10-20;--:--;    755.000
1968-10-21;--:--;    695.000
1968-10-22;--:--;    630.000
1968-10-23;--:--;    630.000
1968-10-24;--:--;    580.000
1968-10-25;--:--;    560.000
1968-10-26;--:--;    535.000
1968-10-27;--:--;    520.000
1968-10-28;--:--;    515.000
1968-10-29;--:--;    550.000
1968-10-30;--:--;    555.000
1968-10-31;--:--;    590.000
1968-11-01;--:--;    645.000
1968-11-02;--:--;    660.000
1968-11-03;--:--;    670.000
1968-11-04;--:--;    670.000
1968-11-05;--:--;    725.000
1968-11-06;--:--;    735.000
1968-11-07;--:--;    720.000
1968-11-08;--:--;    885.000
1968-11-09;--:--;   1170.000
1968-11-10;--:--;   1260.000
1968-11-11;--:--;   1200.000
1968-11-12;--:--;   1060.000
1968-11-13;--:--;    950.000
1968-11-14;--:--;    850.000
1968-11-15;--:--;    805.000
1968-11-16;--:--;    790.000
1968-11-17;--:--;    760.000
1968-11-18;--:--;    725.000
1968-11-19;--:--;    695.000
1968-11-20;--:--;    670.000
1968-11-21;--:--;    655.000
1968-11-22;--:--;    655.000
1968-11-23;--:--;    655.000
1968-11-24;--:--;    610.000
1968-11-25;--:--;    595.000
1968-11-26;--:--;    595.000
1968-11-27;--:--;    605.000
1968-11-28;--:--;    615.000
1968-11-29;--:--;    630.000
1968-11-30;--:--;    630.000
1968-12-01;--:--;    620.000
1968-12-02;--:--;    610.000
1968-12-03;--:--;    595.000
1968-12-04;--:--;    575.000
1968-12-05;--:--;    560.000
1968-12-06;--:--;    555.000
1968-12-07;--:--;    540.000
1968-12-08;--:--;    520.000
1968-12-09;--:--;    510.000
1968-12-10;--:--;    510.000
1968-12-11;--:--;    491.000
1968-12-12;--:--;    480.000
1968-12-13;--:--;    484.000
1968-12-14;--:--;    480.000
1968-12-15;--:--;    470.000
1968-12-16;--:--;    473.000
1968-12-17;--:--;    484.000
1968-12-18;--:--;    520.000
1968-12-19;--:--;    670.000
1968-12-20;--:--;    805.000
1968-12-21;--:--;   1010.000
1968-12-22;--:--;   1080.000
1968-12-23;--:--;   1080.000
1968-12-24;--:--;   1070.000
1968-12-25;--:--;   1070.000
1968-12-26;--:--;   1240.000
1968-12-27;--:--;   1440.000
1968-12-28;--:--;   1750.000
1968-12-29;--:--;   2090.000
1968-12-30;--:--;   2440.000
1968-12-31;--:--;   2730.000
1969-01-01;--:--;   -999.000
1969-01-02;--:--;   -999.000
1969-01-03;--:--;   -999.000
1969-01-04;--:--;   -999.000
1969-01-05;--:--;   -999.000
1969-01-06;--:--;   -999.000
1969-01-07;--:--;   -999.000
1969-01-08;--:--;   -999.000
1969-01-09;--:--;   -999.000
1969-01-10;--:--;   -999.000
1969-01-11;--:--;   -999.000
1969-01-12;--:--;   -999.000
1969-01-13;--:--;   -999.000
1969-01-14;--:--;   -999.000
1969-01-15;--:--;   -999.000
1969-01-16;--:--;   -999.000
1969-01-17;--:--;   -999.000
1969-01-18;--:--;   -999.000
1969-01-19;--:--;   -999.000
1969-01-20;--:--;   -999.000
1969-01-21;--:--;   -999.000
1969-01-22;--:--;   -999.000
1969-01-23;--:--;   -999.000
1969-01-24;--:--;   -999.000
1969-01-25;--:--;   -999.000
1969-01-26;--:--;   -999.000
1969-01-27;--:--;   -999.000
1969-01-28;--:--;   -999.000
1969-01-29;--:--;   -999.000
1969-01-30;--:--;   -999.000
1969-01-31;--:--;   -999.000
1969-02-01;--:--;   -999.000
1969-02-02;--:--;   -999.000
1969-02-03;--:--;   -999.000
1969-02-04;--:--;   -999.000
1969-02-05;--:--;   -999.000
1969-02-06;--:--;   -999.000
1969-02-07;--:--;   -999.000
1969-02-08;--:--;   -999.000
1969-02-09;--:--;   -999.000
1969-02-10;--:--;   -999.000
1969-02-11;--:--;   -999.000
1969-02-12;--:--;   -999.000
1969-02-13;--:--;   -999.000
1969-02-14;--:--;   -999.000
1969-02-15;--:--;   -999.000
1969-02-16;--:--;   -999.000
1969-02-17;--:--;   -999.000
1969-02-18;--:--;   -999.000
1969-02-19;--:--;   -999.000
1969-02-20;--:--;   -999.000
1969-02-21;--:--;   -999.000
1969-02-22;--:--;   -999.000
1969-02-23;--:--;   -999.000
1969-02-24;--:--;   -999.000
1969-02-25;--:--;   -999.000
1969-02-26;--:--;   -999.000
1969-02-27;--:--;   -999.000
1969-02-28;--:--;   -999.000
1969-03-01;--:--;   -999.000
1969-03-02;--:--;   -999.000
1969-03-03;--:--;   -999.000
1969-03-04;--:--;   -999.000
1969-03-05;--:--;   -999.000
1969-03-06;--:--;   -999.000
1969-03-07;--:--;   -999.000
1969-03-08;--:--;   -999.000
1969-03-09;--:--;   -999.000
1969-03-10;--:--;   -999.000
1969-03-11;--:--;   -999.000
1969-03-12;--:--;   -999.000
1969-03-13;--:--;   -999.000
1969-03-14;--:--;   -999.000
1969-03-15;--:--;   -999.000
1969-03-16;--:--;   -999.000
1969-03-17;--:--;   -999.000
1969-03-18;--:--;   -999.000
1969-03-19;--:--;   -999.000
1969-03-20;--:--;   -999.000
1969-03-21;--:--;   -999.000
1969-03-22;--:--;   -999.000
1969-03-23;--:--;   -999.000
1969-03-24;--:--;   -999.000
1969-03-25;--:--;   -999.000
1969-03-26;--:--;   -999.000
1969-03-27;--:--;   -999.000
1969-03-28;--:--;   -999.000
1969-03-29;--:--;   -999.000
1969-03-30;--:--;   -999.000
1969-03-31;--:--;   -999.000
1969-04-01;--:--;   -999.000
1969-04-02;--:--;   -999.000
1969-04-03;--:--;   -999.000
1969-04-04;--:--;   -999.000
1969-04-05;--:--;   -999.000
1969-04-06;--:--;   -999.000
1969-04-07;--:--;   -999.000
1969-04-08;--:--;   -999.000
1969-04-09;--:--;   -999.000
1969-04-10;--:--;   -999.000
1969-04-11;--:--;   -999.000
1969-04-12;--:--;   -999.000
1969-04-13;--:--;   -999.000
1969-04-14;--:--;   -999.000
1969-04-15;--:--;   -999.000
1969-04-16;--:--;   -999.000
1969-04-17;--:--;   -999.000
1969-04-18;--:--;   -999.000
1969-04-19;--:--;   -999.000
1969-04-20;--:--;   -999.000
1969-04-21;--:--;   -999.000
1969-04-22;--:--;   -999.000
1969-04-23;--:--;   -999.000
1969-04-24;--:--;   -999.000
1969-04-25;--:--;   -999.000
1969-04-26;--:--;   -999.000
1969-04-27;--:--;   -999.000
1969-04-28;--:--;   -999.000
1969-04-29;--:--;   -999.000
1969-04-30;--:--;   -999.000
1969-05-01;--:--;   -999.000
1969-05-02;--:--;   -999.000
1969-05-03;--:--;   -999.000
1969-05-04;--:--;   -999.000
1969-05-05;--:--;   -999.000
1969-05-06;--:--;   -999.000
1969-05-07;--:--;   -999.000
1969-05-08;--:--;   -999.000
1969-05-09;--:--;   -999.000
1969-05-10;--:--;   -999.000
1969-05-11;--:--;   -999.000
1969-05-12;--:--;   -999.000
1969-05-13;--:--;   -999.000
1969-05-14;--:--;   -999.000
1969-05-15;--:--;   -999.000
1969-05-16;--:--;   -999.000
